Source,Target,Type
rt,join,Undirected
rt,u,Undirected
rt,april,Undirected
rt,fun,Undirected
rt,experience,Undirected
rt,new,Undirected
rt,2019,Undirected
join,u,Undirected
join,april,Undirected
join,fun,Undirected
join,experience,Undirected
join,new,Undirected
join,2019,Undirected
u,april,Undirected
u,fun,Undirected
u,experience,Undirected
u,new,Undirected
u,2019,Undirected
april,fun,Undirected
april,experience,Undirected
april,new,Undirected
april,2019,Undirected
fun,experience,Undirected
fun,new,Undirected
fun,2019,Undirected
experience,new,Undirected
experience,2019,Undirected
new,2019,Undirected
rt,love,Undirected
rt,click,Undirected
rt,get,Undirected
rt,20,Undirected
love,click,Undirected
love,get,Undirected
love,20,Undirected
click,get,Undirected
click,20,Undirected
get,20,Undirected
rt,fiatchryslerna,Undirected
rt,live,Undirected
rt,weekend,Undirected
rt,time,Undirected
rt,2019,Undirected
rt,dodge,Undirected
rt,challenger,Undirected
rt,rt,Undirected
rt,scat,Undirected
rt,pack,Undirected
rt,1320,Undirected
fiatchryslerna,live,Undirected
fiatchryslerna,weekend,Undirected
fiatchryslerna,time,Undirected
fiatchryslerna,2019,Undirected
fiatchryslerna,dodge,Undirected
fiatchryslerna,challenger,Undirected
fiatchryslerna,rt,Undirected
fiatchryslerna,scat,Undirected
fiatchryslerna,pack,Undirected
fiatchryslerna,1320,Undirected
live,weekend,Undirected
live,time,Undirected
live,2019,Undirected
live,dodge,Undirected
live,challenger,Undirected
live,rt,Undirected
live,scat,Undirected
live,pack,Undirected
live,1320,Undirected
weekend,time,Undirected
weekend,2019,Undirected
weekend,dodge,Undirected
weekend,challenger,Undirected
weekend,rt,Undirected
weekend,scat,Undirected
weekend,pack,Undirected
weekend,1320,Undirected
time,2019,Undirected
time,dodge,Undirected
time,challenger,Undirected
time,rt,Undirected
time,scat,Undirected
time,pack,Undirected
time,1320,Undirected
2019,dodge,Undirected
2019,challenger,Undirected
2019,rt,Undirected
2019,scat,Undirected
2019,pack,Undirected
2019,1320,Undirected
dodge,challenger,Undirected
dodge,rt,Undirected
dodge,scat,Undirected
dodge,pack,Undirected
dodge,1320,Undirected
challenger,rt,Undirected
challenger,scat,Undirected
challenger,pack,Undirected
challenger,1320,Undirected
rt,scat,Undirected
rt,pack,Undirected
rt,1320,Undirected
scat,pack,Undirected
scat,1320,Undirected
pack,1320,Undirected
rt,mecum,Undirected
rt,re,Undirected
rt,thinking,Undirected
rt,spring,Undirected
rt,first,Undirected
rt,mecumhouston,Undirected
rt,convertible,Undirected
rt,would,Undirected
rt,like,Undirected
rt,take,Undirected
rt,spin,Undirected
rt,67,Undirected
mecum,re,Undirected
mecum,thinking,Undirected
mecum,spring,Undirected
mecum,first,Undirected
mecum,mecumhouston,Undirected
mecum,convertible,Undirected
mecum,would,Undirected
mecum,like,Undirected
mecum,take,Undirected
mecum,spin,Undirected
mecum,67,Undirected
re,thinking,Undirected
re,spring,Undirected
re,first,Undirected
re,mecumhouston,Undirected
re,convertible,Undirected
re,would,Undirected
re,like,Undirected
re,take,Undirected
re,spin,Undirected
re,67,Undirected
thinking,spring,Undirected
thinking,first,Undirected
thinking,mecumhouston,Undirected
thinking,convertible,Undirected
thinking,would,Undirected
thinking,like,Undirected
thinking,take,Undirected
thinking,spin,Undirected
thinking,67,Undirected
spring,first,Undirected
spring,mecumhouston,Undirected
spring,convertible,Undirected
spring,would,Undirected
spring,like,Undirected
spring,take,Undirected
spring,spin,Undirected
spring,67,Undirected
first,mecumhouston,Undirected
first,convertible,Undirected
first,would,Undirected
first,like,Undirected
first,take,Undirected
first,spin,Undirected
first,67,Undirected
mecumhouston,convertible,Undirected
mecumhouston,would,Undirected
mecumhouston,like,Undirected
mecumhouston,take,Undirected
mecumhouston,spin,Undirected
mecumhouston,67,Undirected
convertible,would,Undirected
convertible,like,Undirected
convertible,take,Undirected
convertible,spin,Undirected
convertible,67,Undirected
would,like,Undirected
would,take,Undirected
would,spin,Undirected
would,67,Undirected
like,take,Undirected
like,spin,Undirected
like,67,Undirected
take,spin,Undirected
take,67,Undirected
spin,67,Undirected
rt,rcrracing,Undirected
rt,news,Undirected
rt,tylerreddick,Undirected
rt,2,Undirected
rt,chevrolet,Undirected
rt,camaro,Undirected
rt,graced,Undirected
rt,one,Undirected
rt,iconic,Undirected
rt,country,Undirected
rt,singer,Undirected
rt,time,Undirected
rt,weeke,Undirected
rcrracing,news,Undirected
rcrracing,tylerreddick,Undirected
rcrracing,2,Undirected
rcrracing,chevrolet,Undirected
rcrracing,camaro,Undirected
rcrracing,graced,Undirected
rcrracing,one,Undirected
rcrracing,iconic,Undirected
rcrracing,country,Undirected
rcrracing,singer,Undirected
rcrracing,time,Undirected
rcrracing,weeke,Undirected
news,tylerreddick,Undirected
news,2,Undirected
news,chevrolet,Undirected
news,camaro,Undirected
news,graced,Undirected
news,one,Undirected
news,iconic,Undirected
news,country,Undirected
news,singer,Undirected
news,time,Undirected
news,weeke,Undirected
tylerreddick,2,Undirected
tylerreddick,chevrolet,Undirected
tylerreddick,camaro,Undirected
tylerreddick,graced,Undirected
tylerreddick,one,Undirected
tylerreddick,iconic,Undirected
tylerreddick,country,Undirected
tylerreddick,singer,Undirected
tylerreddick,time,Undirected
tylerreddick,weeke,Undirected
2,chevrolet,Undirected
2,camaro,Undirected
2,graced,Undirected
2,one,Undirected
2,iconic,Undirected
2,country,Undirected
2,singer,Undirected
2,time,Undirected
2,weeke,Undirected
chevrolet,camaro,Undirected
chevrolet,graced,Undirected
chevrolet,one,Undirected
chevrolet,iconic,Undirected
chevrolet,country,Undirected
chevrolet,singer,Undirected
chevrolet,time,Undirected
chevrolet,weeke,Undirected
camaro,graced,Undirected
camaro,one,Undirected
camaro,iconic,Undirected
camaro,country,Undirected
camaro,singer,Undirected
