Source,Target
EHoleik,mustangsinblack
rsboles,try_waterless
FasterMachines,trackshaker
ForestSimple,Barrett_Jackson
ChallengerJoe,Dodge
ChallengerJoe,OfficialMOPAR
ChallengerJoe,JEGSPerformance
Carsforsalecom,USClassicAutos
StellasDad12,mark_melbin
StellasDad12,NRA
FordMustang,AdamDavidSher
UKWildcatgal,Motor1com
vdstaff58,mecum
USBodySource,melange_music
EHoleik,Dodge
capttere,OreBobby
FordMustang,Haad_White
Motor1com,Ford
FullMotorChile,crisvalautos
ChallengerJoe,ChallengerJoe
ChallengerJoe,OfficialMOPAR
roushfenway,Roush6Team
roushfenway,WyndhamRewards
XZTHO,XZTHO
TommyD6336,Team_Penske
TommyD6336,keselowski
TommyD6336,MillerLite
TommyD6336,TXMotorSpeedway
AmazingChevVolt,InsideEVs
FullMotorChile,autosterracar
Garcia_Daniel30,StewartHaasRcng
Garcia_Daniel30,Haas_Automation
Brendan85240221,StewartHaasRcng
Brendan85240221,Daniel_SuarezG
Brendan85240221,Haas_Automation
NittoTire,FormulaDrift
ChallengerJoe,Goin2PAXEast
ChallengerJoe,Dodge
CarBuzzcom,Ford
FAFBulldog,BHCarClub
StangTV,FordMuscleJP
StangTV,FordMustang
FullMotorChile,wcars_chile
vdstaff58,YouTube
FLOldskool68,bowtie1
CraigJo80374965,ClassicCarsSMG
Automoblog,FordMustang
Automoblog,TonyBorroz
PezNewsletter,NortheastPezCon
jwok_714,SVT_Cobras
Brendan85240221,StewartHaasRcng
Brendan85240221,Haas_Automation
EHoleik,kmandei3
MohaleRamo6,KeletsoMoloto_
satti_love_mina,SVT_Cobras
mattmaran,AutoGuide
CraigJo80374965,ClassicCarsSMG
FullMotorChile,FullMotorCL
LXandBeyondNats,Dodge
Music_News_Guy,Dodge
MickeyS10325330,RoadandTrack
rsboles,DaveintheDesert
GerrardinhoNo8,GerrardinhoNo8
GerrardinhoNo8,zammit_marc
Aric_Almirola,RichmondRaceway
JRGStuff,PeterMDeLorenzo
MichianaCDJR,FiatChrysler_NA
MichianaCDJR,Dodge
MichianaCDJR,NexenTireUSA
ChallengerJoe,southmiamimopar
ChallengerJoe,Dodge
Brendan85240221,Aric_Almirola
Brendan85240221,SmithfieldBrand
speedwaydigest,speedwaydigest
ChallengerJoe,ChallengerJoe
KingOfTheRoadII,ANCM_Mx
FullMotorChile,caldosanti
MickeyS10325330,FordPerformance
Garcia_Daniel30,Team_Penske
Garcia_Daniel30,joeylogano
Garcia_Daniel30,shellracingus
