Source,Target,Type
u,fun,Undirected
u,new,Undirected
fun,new,Undirected
amp,mustanggt,Undirected
vision,hybrid,Undirected
vision,hybrid,Undirected
spring,first,Undirected
spring,convertible,Undirected
first,convertible,Undirected
nothing,u,Undirected
nothing,well,Undirected
nothing,good,Undirected
nothing,lucky,Undirected
u,well,Undirected
u,good,Undirected
u,lucky,Undirected
well,good,Undirected
well,lucky,Undirected
good,lucky,Undirected
father,son,Undirected
patriotic,black,Undirected
future,much,Undirected
chevrolet,ready,Undirected
nothing,u,Undirected
nothing,well,Undirected
nothing,good,Undirected
nothing,lucky,Undirected
u,well,Undirected
u,good,Undirected
u,lucky,Undirected
well,good,Undirected
well,lucky,Undirected
good,lucky,Undirected
black,sharp,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
new,new,Undirected
sale,manual,Undirected
straight,top,Undirected
ready,green,Undirected
stunning,rear,Undirected
pa,yung,Undirected
history,powerful,Undirected
history,able,Undirected
history,ow,Undirected
powerful,able,Undirected
powerful,ow,Undirected
able,ow,Undirected
top,big,Undirected
new,key,Undirected
pa,yung,Undirected
blue,key,Undirected
srt8,old,Undirected
shotgun,whodoyoucollect,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
legendary,new,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
ready,first,Undirected
amp,gold,Undirected
amp,clean,Undirected
amp,classic,Undirected
amp,black,Undirected
gold,clean,Undirected
gold,classic,Undirected
gold,black,Undirected
clean,classic,Undirected
clean,black,Undirected
classic,black,Undirected
history,powerful,Undirected
history,able,Undirected
history,ow,Undirected
powerful,able,Undirected
powerful,ow,Undirected
able,ow,Undirected
great,new,Undirected
shelby,favorite,Undirected
u,great,Undirected
spring,first,Undirected
spring,convertible,Undirected
first,convertible,Undirected
history,powerful,Undirected
history,able,Undirected
history,ow,Undirected
powerful,able,Undirected
powerful,ow,Undirected
able,ow,Undirected
unfair,old,Undirected
unfair,much,Undirected
old,much,Undirected
vision,hybrid,Undirected
machine,giant,Undirected
happy,new,Undirected
people,black,Undirected
convertible,new,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
u,ready,Undirected
legendary,new,Undirected
cop,high,Undirected
amp,gold,Undirected
amp,clean,Undirected
amp,classic,Undirected
amp,black,Undirected
gold,clean,Undirected
gold,classic,Undirected
gold,black,Undirected
clean,classic,Undirected
clean,black,Undirected
classic,black,Undirected
vision,hybrid,Undirected
